Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10239,2017,3,13,14,20,7,MYANMAR (BURMA),MYANMAR (BURMA):  THARRAWADDY,17.399,96,10,5.1,,2,36,,
10240,2017,4,5,6,9,2,IRAN,IRAN:  SEFID SANG,35.776,60.436,13,6.1,,2,11,,
10241,2017,4,10,23,54,3,EL SALVADOR,"EL SALVADOR: SAN SALVADOR,SOYAPANGO",13.766,-89.155,10,4.8,,1,3,,
10242,2017,4,8,7,9,18,PHILIPPINES,"PHILIPPINES: BATANGAS, CALABARZON",13.77,120.935,14,5.9,,,6,2,506
10244,2017,4,24,21,39,22,CHILE,CHILE:  VALPARAISO,-33.038,-72.062,28,6.9,9,,,,
10245,2017,4,28,20,23,26,PHILIPPINES,PHILIPPINES: SARANGANI,5.504,125.066,26,6.9,9,,5,,1
10247,2017,5,1,12,31,3,CANADA,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.852,-136.677,1,6.2,,,,,
10248,2017,5,10,21,58,7,CHINA,"CHINA: XINJIANG: QUZGUN, TAXKORGAN TAJIK",37.643,75.31,8,5.4,,8,23,123,3015
10249,2017,5,13,18,0,52,IRAN,IRAN: KHORASAN,37.769,57.206,8,5.6,,3,417,2,
10250,2017,5,29,14,35,51,INDONESIA,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,12,6.6,7,,25,,5
10251,2017,5,28,11,4,37,TURKEY,"TURKEY: MANISA: SARUHANLI, GOLMARMARA",38.764,27.778,3,4.9,,,,,
10252,2017,6,12,12,28,15,GREECE,GREECE: LESBOS,38.93,26.365,12,6.3,,1,15,,10
10253,2017,6,14,7,29,39,GUATEMALA,"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",14.909,-92.009,93,6.9,8,5,30,,
10254,2017,1,11,22,7,7,MADAGASCAR,MADAGASCAR: ANTSIRABE,-20.16,46.647,7,5.5,,2,,,
